S.NO,U/T,1950,L.R. 1950,1990,L.R. 1990,2010,L.R. 2010
UT1, Delhi,1744500,,9421311,75.29,16753235,86.34
UT2, Puducherry,317407,,808117,74.74,1244464,86.55
UT3, Chandigarh,24948,,642374,77.81,1054686,86.43
UT4, Andaman and Nicobar Islands,31480,30.30,281990,73.02,379944,86.27
UT5, Dadra and Nagar Haveli,42846,,138290,40.71,342853,77.65
UT6, Daman and Diu,49482,,102110,71.20,242911,87.07
UT7, Lakshadweep,21000,15.23,52820,81.78,64429,92.28
