S.NO,States/UT,2020
1,Bihar,61.8
2,Arunachal Pradesh,65.38
3,Rajasthan,66.11
4,Jharkhand,66.41
5,Andhra Pradesh,67.02
6,Jammu and Kashmir,67.16
7,Uttar Pradesh,67.68
8,Madhya Pradesh,69.32
9,Chhattisgarh,70.28
10,Assam,72.19
